symbol,series_cn
A,豆一
AG,沪银
AL,沪铝
AO,氧化铝
AP,苹果
AU,沪金
B,豆二
BR,丁二烯橡胶
BU,沥青
C,玉米
CF,郑棉
CJ,红枣
CS,玉米淀粉
CU,沪铜
CY,棉纱
EB,苯乙烯
EG,乙二醇
FG,玻璃
FU,燃油
HC,热卷
I,铁矿石
J,焦炭
JD,鸡蛋
JM,焦煤
L,塑料
LC,碳酸锂
LG,原木
LH,生猪
LU,低硫燃料油
M,豆粕
MA,甲醇
NI,镍
NR,20号胶
OI,菜油
P,棕榈
PB,沪铅
PF,短纤
PG,液化石油气
PK,花生
PP,聚丙烯
PR,瓶片
PS,多晶硅
PX,对二甲苯
RB,螺纹钢
RM,菜粕
RS,菜籽
RU,橡胶
SA,纯碱
SF,硅铁
SH,烧碱
SI,工业硅
SM,锰硅
SN,锡
SP,纸浆
SR,白糖
SS,不锈钢
TA,PTA
UR,尿素
V,PVC
Y,豆油
ZN,沪锌
"# 说明: 共60个品种，覆盖中国期货市场主要商品期货品种"
"# 数据保存路径: D:\Cursor\cursor项目\TradingAgent\qihuo\database\positioning"